Rank,Power Index,Franchise ID,Franchise,Rank Comments
18,74.6,12,Funky Cold Medina,Leaving David Montgomery's 28.9 points on the bench while starting George Kittle (3.2) doomed them to a 23-point loss against Booger's Gas-passers. A classic self-inflicted defeat.
19,72.6,8,Water (and Electric) Boy Ferrell,"Surged four spots to #19 after dropping 148.06 points to obliterate Zippy's Speedsters by 51. Even with Bryce Young's 34.44 points sitting on the bench, Amon-Ra (28.7) and Lamar (27.96) dominated."
20,72.6,4,Ankit's a Rookie No More!,"Josh Allen (37.66) and D'Andre Swift (34.4) provided 72% of the team's offense, but back-to-back zeroes from Kyle Pitts and the Rams defense led to a 31-point loss to Kyle. You can't win carrying dead weight."
21,72.5,23,Zippy's Speedsters,Fell two spots to #21 after getting steamrolled by 51 points against Water Boy Ferrell. Leaving Jaxson Dart's 26.6 points stranded on the bench made a bad beating look even worse.
22,72.1,33,Team Hatherley Corkery,"Bijan Robinson (31.3) showed up, but keeping Chuba Hubbard (23.7) and Stefon Diggs (15.5) on the pine handed Norseman Cometh an 18-point victory."
23,72.1,22,Skol Krushers,Won the matchup but lost all respect: leaving a league-high 57.34 points on the bench—including Jalen Coker (35.8) and Christian Watson (34.7)—actually dropped them a spot in the rankings.
24,71.7,16,Kappler's Team,"Kenneth Walker III (36.1), JSN (28.2), and Zay Flowers (28.0) nearly hit peak optimal efficiency while thoroughly humiliating the #3 pre-season Bombers by 43 points."
25,71.4,7,Draft Dodgers,Vaulted three spots after executing a flawless 100% optimal 164.32-point masterclass behind Justin Jefferson (31.2) and Pittsburgh's defense (16.0). Zero bench waste and total dominance.
26,71.3,10,Atlanta Fantasy Football Team,Chris Olave (30.2) and Zay Flowers (28.0) engineered a 69-point beatdown over Chugifer Returns. Having Javonte Williams's 24.2 points on the bench didn't even matter against such weak competition.
27,70.9,14,Chia Kung Fu Fighters,"Surged three spots after setting the league scoring mark with 170.36 points in a 56-point demolition of Inappropriate Comment, led by Caleb Williams (37.26) and Kenneth Walker III (36.1)."
28,70.4,25,Team West,Plummeted four spots to #28 after managing a paltry 89.32 points in a 51-point beatdown by Rollover. A goose egg from the Rams defense epitomized a pathetic Week 1 performance.
29,68.7,5,O Canada,Slid to #29 after Chris Olave's 30.2 points was wasted by benching Brock Purdy (22.1) and starting a zero at tight end in a 35-point loss to Bessel's Vessels.
30,68.6,13,Wendt's Motown Masher,Absorbed a brutal 61-point thrashing from FreeBallers while Deebo Samuel (18.0) sat on the bench and Kyle Pitts delivered a trademark zero.
31,68.0,35,Inappropriate Comment,"Stuck at #31 after getting crushed by 56 points, made worse by starting double zeroes from Kyle Pitts and Carolina's defense while Kyle Monangai (22.4) watched from the bench."
32,67.0,36,Sailor's Delight,"Josh Allen (37.66) and Bijan Robinson (31.3) nearly pulled off the miracle against #1 InWinceAbles 2.0, but leaving Lamar Jackson's 27.96 points on the bench doomed them to a 12-point loss."
33,66.1,20,Talented Mr Riley,Week 1's most tragic loser: dropped 148.66 points behind Caleb Williams (37.26) and Ashton Jeanty (34.7) only to lose by 0.74 points to McLean's McTeam.
34,65.5,11,Wyld Stallyns,"Scraped by Nashville with 98.36 points, but benching Kyle Monangai (22.4) for Courtland Sutton's 3.1 points keeps them firmly in the basement conversation."
35,64.8,31,Nashville,"Fell to #35 after losing an offensive eye-sore to Wyld Stallyns, as Ja'Marr Chase (3.2) ghosted and Jordan Love's 23.48 points sat unused on the bench."
36,63.3,26,Phat Sackers,"Derrick Henry's 37.3-point beast mode was utterly neutralized by Kyler Murray (0.62) and the Houston defense (-2.0), locking them firmly at #36."
